ID;Jugador;Nacionalidad;Posicion;Equipo;Liga;Edad;Nacimiento;Partidos;Partidos-titular;Minutos;Goles;Asistencias;G+A;Gol-Penal;Amarillas;Rojas;Goles-esperados;xAG
1;Max Aarons;eng ENG;DF;Bournemouth;eng Premier League;23;2000;20;13;1237;0;1;1;0;1;0;0.0;0.8
2;Brenden Aaronson;us USA;MF,FW;Union Berlin;de Bundesliga;22;2000;30;14;1267;2;2;4;2;3;1;2.0;1.9
3;Paxten Aaronson;us USA;MF;Eint Frankfurt;de Bundesliga;19;2003;7;1;101;0;1;1;0;0;0;0.1;0.1
4;Keyliane Abdallah;fr FRA;FW;Marseille;fr Ligue 1;17;2006;1;0;4;0;0;0;0;0;0;0.0;0.0
5;Yunis Abdelhamid;ma MAR;DF;Reims;fr Ligue 1;35;1987;31;31;2781;4;0;4;3;5;0;3.4;0.3
6;Salis Abdul Samed;gh GHA;MF;Lens;fr Ligue 1;23;2000;27;17;1519;0;0;0;0;2;0;0.8;0.5
7;Nabil Aberdin;fr FRA;DF;Getafe;es La Liga;20;2002;2;2;180;0;0;0;0;0;0;0.0;0.0
8;Laurent Abergel;fr FRA;MF;Lorient;fr Ligue 1;30;1993;33;32;2860;2;1;3;2;4;0;1.1;2.2
9;Matthis Abline;fr FRA;FW;Nantes;fr Ligue 1;20;2003;22;12;1044;5;0;5;5;1;0;3.8;2.0
10;Abner;br BRA;DF;Betis;es La Liga;23;2000;23;15;1400;0;1;1;0;3;0;0.1;1.0
11;Zakaria Aboukhlal;ma MAR;MF,FW;Toulouse;fr Ligue 1;23;2000;13;9;754;3;0;3;2;2;0;2.8;0.2
12;Abdel Abqar;ma MAR;DF;Alavés;es La Liga;24;1999;27;27;2312;0;0;0;0;10;0;0.5;0.2
13;Tammy Abraham;eng ENG;FW;Roma;it Serie A;25;1997;8;2;242;1;0;1;1;1;0;0.6;0.1
14;Francesco Acerbi;it ITA;DF;Inter;it Serie A;35;1988;29;26;2388;3;1;4;3;1;0;1.6;1.8
15;Joshua Acheampong;eng ENG;DF;Chelsea;eng Premier League;17;2006;1;0;6;0;0;0;0;0;0;0.0;0.0
16;Marcos Acuña;ar ARG;DF;Sevilla;es La Liga;31;1991;21;18;1292;1;2;3;1;7;0;0.3;1.5
17;Bénie Adama Traore;ci CIV;FW,MF;Sheffield Utd;eng Premier League;20;2002;8;3;387;0;0;0;0;0;0;0.3;0.5
18;Bénie Adama Traore;ci CIV;FW,MF;Nantes;fr Ligue 1;20;2002;14;4;504;0;1;1;0;1;1;0.7;0.9
19;Akor Adams;ng NGA;FW;Montpellier;fr Ligue 1;23;2000;32;27;2252;8;1;9;8;2;0;12.4;1.9
20;Tyler Adams;us USA;MF;Bournemouth;eng Premier League;24;1999;3;1;121;0;0;0;0;0;0;0.0;0.1
21;Junior Adamu;at AUT;FW,MF;Freiburg;de Bundesliga;22;2001;15;0;105;0;0;0;0;0;0;0.1;0.1
22;Sargis Adamyan;am ARM;FW,MF;Köln;de Bundesliga;30;1993;20;8;801;1;2;3;1;2;0;4.1;2.0
23;Tosin Adarabioyo;eng ENG;DF;Fulham;eng Premier League;25;1997;20;18;1617;2;0;2;2;2;0;0.7;0.1
24;Elijah Adebayo;eng ENG;FW;Luton Town;eng Premier League;25;1998;27;16;1419;10;0;10;10;1;0;5.9;0.7
25;Karim Adeyemi;de GER;FW,MF;Dortmund;de Bundesliga;21;2002;21;10;913;3;1;4;3;6;1;3.5;2.0
26;Simon Adingra;ci CIV;FW;Brighton;eng Premier League;21;2002;31;25;2222;6;1;7;6;3;0;4.3;3.7
27;Nathaniel Adjei;gh GHA;DF;Lorient;fr Ligue 1;20;2002;15;14;1243;0;0;0;0;2;0;0.4;0.1
28;Amine Adli;ma MAR;MF,FW;Leverkusen;de Bundesliga;23;2000;23;8;898;4;6;10;4;5;0;3.3;2.3
29;Yacine Adli;fr FRA;MF;Milan;it Serie A;23;2000;24;17;1407;1;2;3;1;3;0;0.3;2.2
30;Adryelson;br BRA;DF,FW;Lyon;fr Ligue 1;25;1998;2;0;6;0;0;0;0;0;0;0.0;0.0
31;Adson;br BRA;MF,FW;Nantes;fr Ligue 1;22;2000;8;2;238;0;0;0;0;0;0;0.2;0.1
32;Michel Aebischer;ch SUI;MF;Bologna;it Serie A;26;1997;36;26;2230;0;1;1;0;8;0;1.1;1.5
33;Emmanuel Agbadou;ci CIV;DF;Reims;fr Ligue 1;26;1997;32;29;2596;1;1;2;1;1;0;2.4;1.5
